Time [s],Channel 0,Channel 1
2.971825500,0,1
2.971825750,1,1
2.971826250,0,1
2.971826750,1,1
2.971827250,0,0
2.971827750,1,1
2.971828250,0,0
2.971828750,1,1
2.971829250,0,0
2.971829750,1,1
2.971830250,0,1
2.971830750,1,1
2.971831250,0,1
2.971831500,1,1
2.971832000,0,1
2.971832250,0,0
2.971832500,1,0
2.971832750,1,1
2.971833000,0,1
2.971833500,1,1
2.971834000,0,0
2.971834500,1,1
2.971835000,0,0
2.971835500,1,1
2.971836000,0,1
2.971836500,1,1
2.971837000,0,1
2.971837500,1,1
2.971838000,0,0
2.971838500,1,1
2.971839000,0,1
2.971839500,1,1
2.971840000,0,0
2.971840500,1,1
2.971841000,0,1
2.971841250,1,1
2.971841750,0,1
2.971842000,0,0
2.971842250,1,0
2.971842500,1,1
2.971842750,0,1
2.971843000,0,0
2.971843250,1,0
2.971843500,1,1
2.971843750,0,1
2.971844250,1,1
2.971844750,0,1
2.971845250,1,1
2.971845750,0,0
2.971846250,1,1
2.971846750,0,1
2.971847250,1,1
2.971847750,0,0
2.971848250,1,1
2.971848750,0,0
2.971849250,1,0
2.971849750,0,1
2.971850250,1,1
2.971850750,0,1
2.971851250,1,1
2.971851500,0,1
2.971851750,0,0
2.971852000,1,0
2.971852250,1,1
2.971852500,0,0
2.971852750,0,1
2.971853000,1,1
2.971853500,0,0
2.971854000,1,0
2.971854500,0,1
2.971855000,1,1
2.971855500,0,0
2.971856000,1,0
2.971856500,0,0
2.971857000,1,0
2.971857500,0,1
2.971858000,1,1
2.971858500,0,1
2.971859000,1,1
2.971859500,0,0
2.971860000,1,0
2.971860500,0,0
2.971861000,1,0
2.971861500,0,1
2.971861750,1,1
2.971862250,0,0
2.971862500,0,1
2.971862750,1,1
2.971863250,0,0
2.971863750,1,0
2.971864250,0,0
2.971864750,1,0
2.971865250,0,1
2.971865750,1,1
2.971866250,0,1
2.971866750,1,1
2.971867250,0,0
2.971867750,1,0
2.971868250,0,0
2.971868750,1,0
2.971869250,0,1
2.971869750,1,1
2.971870250,0,1
2.971870750,1,1
2.971871250,0,1
2.971871750,1,1
2.971872000,0,1
2.971872250,0,0
2.971872500,1,0
2.971873000,0,0
2.971873500,1,0
2.971874000,0,0
2.971874500,1,0
2.971875000,0,1
2.971875500,1,1
2.971876000,0,1
2.971876500,1,1
2.971877000,0,0
2.971877500,1,0
2.971878000,0,0
2.971878500,1,0
2.971879000,0,0
2.971879500,1,0
2.971880000,0,1
2.971880500,1,1
2.971881000,0,1
2.971881500,1,1
2.971882000,0,1
2.971882250,1,1
2.971882750,0,0
2.971883250,1,0
2.971883750,0,0
2.971884000,0,1
2.971884250,1,1
2.971884750,0,0
2.971885250,1,0
2.971885750,0,1
2.971886250,1,1
2.971886750,0,0
2.971887250,1,0
2.971887750,0,0
2.971888250,1,0
2.971888750,0,1
2.971889250,1,1
2.971889750,0,1
2.971890250,1,1
2.971890750,0,0
2.971891250,1,0
2.971891750,0,0
2.971892250,1,0
2.971892500,0,0
2.971892750,0,1
2.971893000,1,1
2.971893500,0,0
2.971893750,0,1
2.971894000,1,1
2.971894500,0,0
2.971895000,1,0
2.971895500,0,0
2.971896000,1,0
2.971896500,0,1
2.971897000,1,1
2.971897500,0,1
2.971898000,1,1
2.971898500,0,0
2.971899000,1,0
2.971899500,0,0
2.971900000,1,0
2.971900500,0,1
2.971901000,1,1
2.971901500,0,1
2.971902000,1,1
2.971902500,0,0
2.971902750,1,0
2.971903250,0,0
2.971903750,1,0
2.971904250,0,1
2.971904750,1,1
2.971905250,0,1
2.971905750,1,1
2.971906250,0,0
2.971906750,1,0
2.971907250,0,0
2.971907750,1,0
2.971908250,0,1
2.971908750,1,1
2.971909250,0,0
2.971909750,1,0
2.971910250,0,1
2.971910750,1,1
2.971911250,0,1
2.971911750,1,1
2.971912250,0,0
2.971912750,1,0
2.971913000,0,0
2.971913500,1,0
2.971914000,0,0
2.971914250,0,1
2.971914500,1,1
2.971915000,0,0
2.971915500,1,0
2.971916000,0,1
2.971916500,1,1
2.971917000,0,1
2.971917500,1,1
2.971918000,0,0
2.971918500,1,0
2.971919000,0,0
2.971919500,1,0
2.971920000,0,1
2.971920500,1,1
2.971921000,0,1
2.971921500,1,1
2.971922000,0,0
2.971922500,1,0
2.971923000,0,0
2.971923250,1,0
2.971923750,0,0
2.971924000,0,1
2.971924250,1,1
2.971924750,0,0
2.971925250,1,0
2.971925750,0,1
2.971926250,1,1
2.971926750,0,1
2.971927250,1,1
2.971927750,0,0
2.971928250,1,0
2.971928750,0,0
2.971929250,1,0
2.971929750,0,0
2.971930250,1,0
2.971930750,0,1
2.971931250,1,1
2.971931750,0,1
2.971932250,1,1
2.971932750,0,1
2.971933250,1,1
2.971933500,0,0
2.971933750,0,1
2.971934000,1,1
2.971934500,0,0
2.971935000,1,0
2.971935500,0,0
2.971936000,1,0
2.971936500,0,0
2.971937000,1,0
2.971937500,0,0
2.971938000,1,0
2.971938500,0,1
2.971939000,1,1
2.971939500,0,1
2.971940000,1,1
2.971940500,0,1
2.971941000,1,1
2.971941500,0,0
2.971942000,1,0
2.971942500,0,0
2.971943000,1,0
2.971943500,0,1
2.971943750,1,1
2.971944250,0,0
2.971944500,0,1
2.971944750,1,1
2.971945250,0,0
2.971945750,1,0
2.971946250,0,0
2.971946750,1,0
2.971947250,0,1
2.971947750,1,1
2.971948250,0,0
2.971948750,1,0
2.971949250,0,1
2.971949750,1,1
2.971950250,0,1
2.971950750,1,1
2.971951250,0,0
2.971951750,1,0
2.971952250,0,0
2.971952750,1,0
2.971953250,0,0
2.971953500,1,0
2.971954000,0,0
2.971954250,0,1
2.971954500,1,1
2.971955000,0,0
2.971955250,0,1
2.971955500,1,1
2.971956000,0,1
2.971956500,1,1
2.971957000,0,0
2.971957500,1,0
2.971958000,0,0
2.971958500,1,0
2.971959000,0,1
2.971959500,1,1
2.971960000,0,0
2.971960500,1,0
2.971961000,0,1
2.971961500,1,1
2.971962000,0,0
2.971962500,1,0
2.971963000,0,1
2.971963500,1,1
2.971963750,0,0
2.971964000,0,1
2.971964250,1,1
2.971964750,0,0
2.971965250,1,0
2.971965750,0,0
2.971966250,1,0
2.971966750,0,0
2.971967250,1,0
2.971967750,0,1
2.971968250,1,1
2.971968750,0,1
2.971969250,1,1
2.971969750,0,1
